champ_1,role_1,champ_2,role_2,winrate,matches
Aatrox,Mid,KSante,Top,0.4843,11
Aatrox,Mid,Zaahen,Top,0.5479,9
Aatrox,Mid,XinZhao,Jungle,0.4872,5
Aatrox,Mid,MasterYi,Jungle,0.5311,9
Aatrox,Mid,Chogath,Jungle,0.5703,12
Aatrox,Mid,Shaco,Jungle,0.518,8
Aatrox,Mid,Nocturne,Jungle,0.5602,11
Aatrox,Mid,JarvanIV,Jungle,0.468,13
Aatrox,Mid,MonkeyKing,Jungle,0.5194,9
Aatrox,Mid,LeeSin,Jungle,0.5054,32
Aatrox,Mid,Nidalee,Jungle,0.5286,9
Aatrox,Mid,Udyr,Jungle,0.545,5
Aatrox,Mid,Talon,Jungle,0.5065,15
Aatrox,Mid,Shyvana,Jungle,0.5519,9
Aatrox,Mid,Graves,Jungle,0.4405,18
Aatrox,Mid,Rengar,Jungle,0.481,9
Aatrox,Mid,Sejuani,Jungle,0.4649,7
Aatrox,Mid,Hecarim,Jungle,0.4652,12
Aatrox,Mid,Khazix,Jungle,0.5597,12
Aatrox,Mid,Kayn,Jungle,0.5335,9
Aatrox,Mid,Belveth,Jungle,0.5237,5
Aatrox,Mid,Briar,Jungle,0.525,11
Aatrox,Mid,Viego,Jungle,0.4894,26
Aatrox,Mid,Ekko,Jungle,0.4737,9
Aatrox,Mid,Qiyana,Jungle,0.5295,12
Aatrox,Mid,Vi,Jungle,0.5153,12
Aatrox,Mid,Sylas,Jungle,0.546,17
Aatrox,Mid,Naafiri,Jungle,0.459,9
Aatrox,Mid,Sivir,ADC,0.4773,6
Aatrox,Mid,Tristana,ADC,0.5292,19
Aatrox,Mid,MissFortune,ADC,0.5088,6
Aatrox,Mid,Ashe,ADC,0.5029,12
Aatrox,Mid,Twitch,ADC,0.5194,7
Aatrox,Mid,Caitlyn,ADC,0.4942,26
Aatrox,Mid,Ezreal,ADC,0.4436,33
Aatrox,Mid,KogMaw,ADC,0.5381,6
Aatrox,Mid,Varus,ADC,0.4534,6
Aatrox,Mid,Draven,ADC,0.5121,7
Aatrox,Mid,Kaisa,ADC,0.4827,52
Aatrox,Mid,Yasuo,ADC,0.5402,7
Aatrox,Mid,Jhin,ADC,0.5117,37
Aatrox,Mid,Zeri,ADC,0.5086,6
Aatrox,Mid,Jinx,ADC,0.5708,34
Aatrox,Mid,Lucian,ADC,0.5672,20
Aatrox,Mid,Samira,ADC,0.4524,7
Aatrox,Mid,Kalista,ADC,0.5151,11
Aatrox,Mid,Xayah,ADC,0.5682,6
Aatrox,Mid,Aphelios,ADC,0.5149,14
Aatrox,Mid,Yunara,ADC,0.5268,32
Aatrox,Mid,Alistar,Support,0.5503,11
Aatrox,Mid,Soraka,Support,0.4815,7
Aatrox,Mid,Morgana,Support,0.4904,6
Aatrox,Mid,Sona,Support,0.4772,8
Aatrox,Mid,Janna,Support,0.5282,13
Aatrox,Mid,Karma,Support,0.4472,18
Aatrox,Mid,Swain,Support,0.4513,5
Aatrox,Mid,Blitzcrank,Support,0.5688,10
Aatrox,Mid,Pantheon,Support,0.4914,7
Aatrox,Mid,Leona,Support,0.5539,22
Aatrox,Mid,Nautilus,Support,0.5169,24
Aatrox,Mid,Lulu,Support,0.5518,25
Aatrox,Mid,Seraphine,Support,0.5077,15
Aatrox,Mid,Velkoz,Support,0.5456,5
Aatrox,Mid,Camille,Support,0.4667,6
Aatrox,Mid,Braum,Support,0.5141,14
Aatrox,Mid,TahmKench,Support,0.5097,6
Aatrox,Mid,Senna,Support,0.5298,14
Aatrox,Mid,Nami,Support,0.4417,20
Aatrox,Mid,Yuumi,Support,0.5105,13
Aatrox,Mid,Thresh,Support,0.5363,35
Aatrox,Mid,Bard,Support,0.5271,14
Aatrox,Mid,Rakan,Support,0.5398,5
Aatrox,Mid,Rell,Support,0.5147,6
Aatrox,Mid,Pyke,Support,0.4424,13
Aatrox,Mid,Milio,Support,0.5064,11
Aatrox,ADC,Nasus,Top,0.5278,5
Aatrox,ADC,Garen,Top,0.5522,6
Aatrox,ADC,Camille,Top,0.5246,5
Aatrox,ADC,Yone,Top,0.5709,6
Aatrox,ADC,LeeSin,Jungle,0.5047,6
Aatrox,ADC,Talon,Jungle,0.5531,7
Aatrox,ADC,Graves,Jungle,0.4496,8
Aatrox,ADC,Hecarim,Jungle,0.5151,5
Aatrox,ADC,Kayn,Jungle,0.5389,5
Aatrox,ADC,Qiyana,Jungle,0.5712,6
Aatrox,ADC,Katarina,Mid,0.5688,5
Aatrox,ADC,Viktor,Mid,0.474,6
Aatrox,ADC,Yasuo,Mid,0.5709,13
Aatrox,ADC,Zed,Mid,0.5661,10
Aatrox,ADC,Yone,Mid,0.5227,8
Aatrox,ADC,Nautilus,Support,0.5554,5
Aatrox,ADC,Seraphine,Support,0.5238,6
Aatrox,ADC,Senna,Support,0.5585,5
Aatrox,ADC,Nami,Support,0.4577,13
Aatrox,ADC,Thresh,Support,0.5607,8
Aatrox,ADC,Pyke,Support,0.542,6
Aatrox,Support,Olaf,Top,0.556,9
Aatrox,Support,Urgot,Top,0.5709,10
Aatrox,Support,Kayle,Top,0.4789,9
Aatrox,Support,Sion,Top,0.4946,9
Aatrox,Support,Teemo,Top,0.5491,9
Aatrox,Support,Tryndamere,Top,0.5471,11
Aatrox,Support,Jax,Top,0.5525,21
Aatrox,Support,Singed,Top,0.5599,11
Aatrox,Support,Chogath,Top,0.4939,12
Aatrox,Support,DrMundo,Top,0.44,13
Aatrox,Support,Irelia,Top,0.5519,17
Aatrox,Support,Gangplank,Top,0.5202,15
Aatrox,Support,Trundle,Top,0.4997,6
Aatrox,Support,Malphite,Top,0.546,17
Aatrox,Support,Renekton,Top,0.569,20
Aatrox,Support,Vayne,Top,0.5203,8
Aatrox,Support,Rumble,Top,0.5573,8
Aatrox,Support,Nasus,Top,0.5403,24
Aatrox,Support,Gragas,Top,0.5678,7
Aatrox,Support,Pantheon,Top,0.5486,10
Aatrox,Support,Mordekaiser,Top,0.5266,13
Aatrox,Support,Yorick,Top,0.5479,6
Aatrox,Support,Akali,Top,0.5094,9
Aatrox,Support,Garen,Top,0.4727,19
Aatrox,Support,Riven,Top,0.5704,7
Aatrox,Support,Shen,Top,0.5142,16
Aatrox,Support,Volibear,Top,0.4745,12
Aatrox,Support,Fiora,Top,0.5412,10
Aatrox,Support,Darius,Top,0.4842,17
Aatrox,Support,Jayce,Top,0.5606,28
Aatrox,Support,Gnar,Top,0.4545,16
Aatrox,Support,Yasuo,Top,0.531,12
Aatrox,Support,Camille,Top,0.5462,17
Aatrox,Support,Kled,Top,0.5423,6
Aatrox,Support,Aatrox,Top,0.4763,16
Aatrox,Support,Ornn,Top,0.5553,13
Aatrox,Support,Yone,Top,0.5259,25
Aatrox,Support,Ambessa,Top,0.4812,14
Aatrox,Support,Sett,Top,0.464,19
Aatrox,Support,Gwen,Top,0.5423,7
Aatrox,Support,KSante,Top,0.4349,11
Aatrox,Support,Zaahen,Top,0.5069,11
Aatrox,Support,XinZhao,Jungle,0.5608,11
Aatrox,Support,Fiddlesticks,Jungle,0.5683,6
Aatrox,Support,MasterYi,Jungle,0.5552,18
Aatrox,Support,Warwick,Jungle,0.5025,5
Aatrox,Support,Nunu,Jungle,0.5621,8
Aatrox,Support,Jax,Jungle,0.4427,6
Aatrox,Support,Evelynn,Jungle,0.4508,10
Aatrox,Support,Karthus,Jungle,0.5025,5
Aatrox,Support,Chogath,Jungle,0.5668,15
Aatrox,Support,Amumu,Jungle,0.4778,6
Aatrox,Support,Shaco,Jungle,0.5214,12
Aatrox,Support,Nocturne,Jungle,0.5547,17
Aatrox,Support,JarvanIV,Jungle,0.4299,30
Aatrox,Support,Elise,Jungle,0.5268,8
Aatrox,Support,MonkeyKing,Jungle,0.5618,21
Aatrox,Support,LeeSin,Jungle,0.5544,47
Aatrox,Support,Nidalee,Jungle,0.5646,9
Aatrox,Support,Udyr,Jungle,0.4706,9
Aatrox,Support,Talon,Jungle,0.5449,18
Aatrox,Support,Shyvana,Jungle,0.5067,13
Aatrox,Support,Graves,Jungle,0.482,25
Aatrox,Support,Rengar,Jungle,0.5684,13
Aatrox,Support,Sejuani,Jungle,0.5695,8
Aatrox,Support,Hecarim,Jungle,0.5065,21
Aatrox,Support,Khazix,Jungle,0.496,18
Aatrox,Support,Diana,Jungle,0.4705,8
Aatrox,Support,Kayn,Jungle,0.5531,24
Aatrox,Support,Zyra,Jungle,0.4565,6
Aatrox,Support,Zac,Jungle,0.4757,10
Aatrox,Support,Belveth,Jungle,0.4895,8
Aatrox,Support,Briar,Jungle,0.4705,11
Aatrox,Support,Viego,Jungle,0.4705,32
Aatrox,Support,Zed,Jungle,0.5144,10
Aatrox,Support,Ekko,Jungle,0.5169,20
Aatrox,Support,Qiyana,Jungle,0.5694,24
Aatrox,Support,Vi,Jungle,0.4953,19
Aatrox,Support,Sylas,Jungle,0.4889,24
Aatrox,Support,Lillia,Jungle,0.5711,11
Aatrox,Support,Naafiri,Jungle,0.4522,10
Aatrox,Support,Annie,Mid,0.5336,6
Aatrox,Support,Galio,Mid,0.475,12
Aatrox,Support,TwistedFate,Mid,0.5672,18
Aatrox,Support,Leblanc,Mid,0.5379,21
Aatrox,Support,Vladimir,Mid,0.5401,14
Aatrox,Support,Ryze,Mid,0.449,9
Aatrox,Support,Anivia,Mid,0.534,14
Aatrox,Support,Kassadin,Mid,0.5539,22
Aatrox,Support,Irelia,Mid,0.5124,7
Aatrox,Support,Veigar,Mid,0.5382,9
Aatrox,Support,Katarina,Mid,0.4896,24
Aatrox,Support,Orianna,Mid,0.476,9
Aatrox,Support,Nasus,Mid,0.5368,8
Aatrox,Support,Akali,Mid,0.4491,17
Aatrox,Support,Malzahar,Mid,0.5181,15
Aatrox,Support,Lux,Mid,0.5491,10
Aatrox,Support,Xerath,Mid,0.5399,13
Aatrox,Support,Ahri,Mid,0.5568,32
Aatrox,Support,Fizz,Mid,0.5686,14
Aatrox,Support,Viktor,Mid,0.5056,33
Aatrox,Support,Lissandra,Mid,0.5329,23
Aatrox,Support,Diana,Mid,0.5283,11
Aatrox,Support,Syndra,Mid,0.4993,29
Aatrox,Support,Zoe,Mid,0.4931,8
Aatrox,Support,Yasuo,Mid,0.509,20
Aatrox,Support,Taliyah,Mid,0.5658,6
Aatrox,Support,Zed,Mid,0.5409,27
Aatrox,Support,Ekko,Mid,0.5645,16
Aatrox,Support,Qiyana,Mid,0.4544,7
Aatrox,Support,Sylas,Mid,0.4766,26
Aatrox,Support,Vex,Mid,0.4844,11
Aatrox,Support,Yone,Mid,0.4551,16
Aatrox,Support,Mel,Mid,0.5228,7
Aatrox,Support,Locke,Mid,0.5502,25
Aatrox,Support,Aurora,Mid,0.5707,5
Aatrox,Support,Hwei,Mid,0.5064,11
Aatrox,Support,Sivir,ADC,0.4799,15
Aatrox,Support,Tristana,ADC,0.551,30
Aatrox,Support,MissFortune,ADC,0.4293,7
Aatrox,Support,Ashe,ADC,0.5594,23
Aatrox,Support,Twitch,ADC,0.481,20
Aatrox,Support,Caitlyn,ADC,0.5218,42
Aatrox,Support,Vayne,ADC,0.5433,10
Aatrox,Support,Ezreal,ADC,0.4297,15
Aatrox,Support,KogMaw,ADC,0.5685,13
Aatrox,Support,Varus,ADC,0.5568,8
Aatrox,Support,Draven,ADC,0.4692,7
Aatrox,Support,Kaisa,ADC,0.5249,27
Aatrox,Support,Jhin,ADC,0.4738,19
Aatrox,Support,Zeri,ADC,0.4834,13
Aatrox,Support,Jinx,ADC,0.5438,107
Aatrox,Support,Lucian,ADC,0.5018,182
Aatrox,Support,Xayah,ADC,0.4815,7
Aatrox,Support,Aphelios,ADC,0.5329,20
Aatrox,Support,Yunara,ADC,0.5145,43
Aatrox,Support,Smolder,ADC,0.4989,10
Ahri,Top,XinZhao,Jungle,0.4889,6
Ahri,Top,Fiddlesticks,Jungle,0.534,5
Ahri,Top,MasterYi,Jungle,0.5265,12
Ahri,Top,Evelynn,Jungle,0.513,5
Ahri,Top,Chogath,Jungle,0.5691,9
Ahri,Top,Shaco,Jungle,0.504,7
Ahri,Top,Nocturne,Jungle,0.5192,9
Ahri,Top,JarvanIV,Jungle,0.4919,12
Ahri,Top,MonkeyKing,Jungle,0.4809,11
Ahri,Top,LeeSin,Jungle,0.5027,30
Ahri,Top,Nidalee,Jungle,0.5658,5
Ahri,Top,Talon,Jungle,0.52,12
Ahri,Top,Shyvana,Jungle,0.4965,6
Ahri,Top,Graves,Jungle,0.4501,13
Ahri,Top,Rengar,Jungle,0.4414,10
Ahri,Top,Hecarim,Jungle,0.48,8
Ahri,Top,Khazix,Jungle,0.4521,10
Ahri,Top,Kayn,Jungle,0.5223,11
Ahri,Top,Zac,Jungle,0.4749,6
Ahri,Top,Belveth,Jungle,0.5083,6
Ahri,Top,Viego,Jungle,0.4892,18
Ahri,Top,Ekko,Jungle,0.5659,9
Ahri,Top,Qiyana,Jungle,0.5608,13
Ahri,Top,Vi,Jungle,0.5446,8
Ahri,Top,Sylas,Jungle,0.4625,12
Ahri,Top,Galio,Mid,0.559,10
Ahri,Top,TwistedFate,Mid,0.4738,12
Ahri,Top,Leblanc,Mid,0.5627,11
Ahri,Top,Vladimir,Mid,0.5056,7
Ahri,Top,Ryze,Mid,0.4654,6
Ahri,Top,Anivia,Mid,0.5557,6
Ahri,Top,Kassadin,Mid,0.501,9
Ahri,Top,Katarina,Mid,0.5374,7
Ahri,Top,Cassiopeia,Mid,0.5594,6
Ahri,Top,Akali,Mid,0.5571,13
Ahri,Top,Malzahar,Mid,0.4833,6
Ahri,Top,Lux,Mid,0.4754,6
Ahri,Top,Xerath,Mid,0.5094,8
Ahri,Mid,Ahri,Top,0.5282,15
Ahri,Top,Fizz,Mid,0.4929,6
Ahri,Top,Viktor,Mid,0.5156,16
Ahri,Top,Lissandra,Mid,0.5266,6
Ahri,Top,Diana,Mid,0.4873,7
Ahri,Top,Syndra,Mid,0.4851,20
Ahri,Top,AurelionSol,Mid,0.5166,5
Ahri,Top,Zoe,Mid,0.5683,8
Ahri,Top,Yasuo,Mid,0.5149,11
Ahri,Top,Akshan,Mid,0.4849,8
Ahri,Top,Zed,Mid,0.4661,8
Ahri,Top,Ekko,Mid,0.5384,7
Ahri,Top,Sylas,Mid,0.4382,13
Ahri,Top,Yone,Mid,0.4489,17
Ahri,Top,Locke,Mid,0.5178,14
Ahri,Top,Hwei,Mid,0.5479,9
Ahri,Top,Sivir,ADC,0.4309,10
Ahri,Top,Tristana,ADC,0.5618,21
Ahri,Top,MissFortune,ADC,0.4922,10
Ahri,Top,Ashe,ADC,0.458,10
Ahri,Top,Caitlyn,ADC,0.4677,29
Ahri,Top,Ezreal,ADC,0.5306,16
Ahri,Top,Varus,ADC,0.4666,7
Ahri,Top,Viktor,ADC,0.5529,7
Ahri,Top,Draven,ADC,0.5072,6
Ahri,Top,Kaisa,ADC,0.4607,37
Ahri,Top,Jhin,ADC,0.5543,25
Ahri,Top,Zeri,ADC,0.5132,7
Ahri,Top,Jinx,ADC,0.5564,31
Ahri,Top,Lucian,ADC,0.5085,18
Ahri,Top,Kalista,ADC,0.5119,8
Ahri,Top,Xayah,ADC,0.5333,6
Ahri,Top,Yunara,ADC,0.5052,25
Ahri,Top,Alistar,Support,0.5054,7
Ahri,Top,Soraka,Support,0.5199,6
Ahri,Top,Morgana,Support,0.5406,6
Ahri,Top,Zilean,Support,0.4991,6
Ahri,Top,Shaco,Support,0.4376,5
Ahri,Top,Sona,Support,0.498,6
Ahri,Top,Janna,Support,0.5199,13
Ahri,Top,Karma,Support,0.4935,13
Ahri,Top,Blitzcrank,Support,0.5061,11
Ahri,Top,Leona,Support,0.4667,11
Ahri,Top,Lux,Support,0.4886,8
Ahri,Top,Nautilus,Support,0.4316,15
Ahri,Top,Lulu,Support,0.5566,26
Ahri,Top,Seraphine,Support,0.5606,11
Ahri,Top,Camille,Support,0.4975,6
Ahri,Top,Braum,Support,0.5521,13
Ahri,Top,Senna,Support,0.4798,8
Ahri,Top,Nami,Support,0.4607,19
Ahri,Top,Yuumi,Support,0.4959,11
Ahri,Top,Thresh,Support,0.532,29
Ahri,Top,Bard,Support,0.5661,6
Ahri,Top,Rakan,Support,0.5566,5
Ahri,Top,Rell,Support,0.4872,7
Ahri,Top,Pyke,Support,0.44,12
Ahri,Top,Milio,Support,0.5069,11
Ahri,Jungle,Olaf,Top,0.5076,7
Ahri,Jungle,Teemo,Top,0.5003,7
Ahri,Jungle,Tryndamere,Top,0.4424,6
Ahri,Jungle,Jax,Top,0.512,7
Ahri,Jungle,DrMundo,Top,0.4616,9
Ahri,Jungle,Irelia,Top,0.472,7
Ahri,Jungle,Gangplank,Top,0.5246,9
Ahri,Jungle,Malphite,Top,0.5115,15
Ahri,Jungle,Renekton,Top,0.4409,14
Ahri,Jungle,Rumble,Top,0.5518,5
Ahri,Jungle,Nasus,Top,0.5539,13
Ahri,Jungle,Gragas,Top,0.4815,6
Ahri,Jungle,Mordekaiser,Top,0.5504,9
Ahri,Jungle,Akali,Top,0.5014,6
Ahri,Jungle,Garen,Top,0.521,11
Ahri,Jungle,Volibear,Top,0.49,7
Ahri,Jungle,Fiora,Top,0.518,6
Ahri,Jungle,Darius,Top,0.4948,7
Ahri,Jungle,Jayce,Top,0.4861,14
Ahri,Jungle,Yasuo,Top,0.482,6
Ahri,Jungle,Camille,Top,0.4644,8
Aatrox,Top,Ahri,Jungle,0.4676,13
Ahri,Jungle,Ornn,Top,0.4444,5
Ahri,Jungle,Yone,Top,0.4338,13
Ahri,Jungle,Ambessa,Top,0.5532,7
Ahri,Jungle,Sett,Top,0.4299,9
Ahri,Jungle,KSante,Top,0.4487,12
Ahri,Jungle,Galio,Mid,0.4637,7
Ahri,Jungle,TwistedFate,Mid,0.5007,14
Ahri,Jungle,Leblanc,Mid,0.5023,10
Ahri,Jungle,Ryze,Mid,0.4377,8
Ahri,Jungle,Kassadin,Mid,0.5318,7
Ahri,Jungle,Veigar,Mid,0.5284,5
Ahri,Jungle,Katarina,Mid,0.4689,9
Ahri,Jungle,Orianna,Mid,0.4567,12
Ahri,Jungle,Cassiopeia,Mid,0.4493,6
Ahri,Jungle,Nasus,Mid,0.5272,6
Ahri,Jungle,Akali,Mid,0.4723,10
Ahri,Jungle,Malzahar,Mid,0.5049,7
Ahri,Jungle,Lux,Mid,0.4649,7
Ahri,Jungle,Xerath,Mid,0.4613,10
Ahri,Jungle,Ahri,Mid,0.5182,17
Ahri,Jungle,Fizz,Mid,0.5205,8
Ahri,Jungle,Viktor,Mid,0.5169,10
Ahri,Jungle,Lissandra,Mid,0.5665,10
Ahri,Jungle,Diana,Mid,0.4904,8
Ahri,Jungle,Syndra,Mid,0.4785,20
Ahri,Jungle,Zoe,Mid,0.5241,7
Ahri,Jungle,Yasuo,Mid,0.4486,7
Ahri,Jungle,Zed,Mid,0.4666,9
Ahri,Jungle,Ekko,Mid,0.5317,6
Ahri,Jungle,Sylas,Mid,0.4357,16
Ahri,Jungle,Vex,Mid,0.5594,10
Ahri,Jungle,Yone,Mid,0.4796,5
Ahri,Jungle,Locke,Mid,0.4585,16
Ahri,Jungle,Hwei,Mid,0.459,9
Ahri,Jungle,Sivir,ADC,0.4334,7
Ahri,Jungle,Tristana,ADC,0.479,14
Ahri,Jungle,MissFortune,ADC,0.4846,7
Ahri,Jungle,Ashe,ADC,0.463,15
Ahri,Jungle,Twitch,ADC,0.4891,5
Ahri,Jungle,Caitlyn,ADC,0.5026,28
Ahri,Jungle,Ezreal,ADC,0.4487,26
Ahri,Jungle,KogMaw,ADC,0.5275,5
Ahri,Jungle,Varus,ADC,0.5345,7
Ahri,Jungle,Draven,ADC,0.4581,7
